cntry,ess7_id,ess7_reg,nuts1,nuts2,nuts3,stflife,stfgov,stfedu,blgetmg,gndr,agea,yrbrn,eisced,eiscedf,c_gdp_eurhab_2014,c_gini_2014,c_effectiveness_2014
AT,AT000000001,AT22,AT2,AT22,,10,2,3,2,1,51,1964,3,3,38500,27.6,1.56806790828705
AT,AT000000002,AT22,AT2,AT22,,7,5,88,2,1,67,1948,1,1,38500,27.6,1.56806790828705
AT,AT000000003,AT22,AT2,AT22,,10,3,4,2,2,89,1926,1,1,38500,27.6,1.56806790828705
AT,AT000000004,AT22,AT2,AT22,,8,2,1,2,1,32,1983,3,2,38500,27.6,1.56806790828705
AT,AT000000005,AT22,AT2,AT22,,10,3,3,2,2,56,1959,3,1,38500,27.6,1.56806790828705
AT,AT000000006,AT22,AT2,AT22,,10,3,5,2,2,67,1948,3,1,38500,27.6,1.56806790828705
AT,AT000000007,AT22,AT2,AT22,,7,1,2,2,1,66,1949,3,1,38500,27.6,1.56806790828705
AT,AT000000013,AT13,AT1,AT13,,8,4,6,1,2,67,1948,5,1,38500,27.6,1.56806790828705
AT,AT000000014,AT13,AT1,AT13,,3,3,8,2,2,34,1981,7,7,38500,27.6,1.56806790828705
AT,AT000000021,AT12,AT1,AT12,,8,3,4,2,2,66,1949,3,3,38500,27.6,1.56806790828705
AT,AT000000022,AT12,AT1,AT12,,7,4,2,2,1,61,1954,3,2,38500,27.6,1.56806790828705
AT,AT000000023,AT12,AT1,AT12,,10,6,7,2,2,55,1960,3,1,38500,27.6,1.56806790828705
AT,AT000000024,AT12,AT1,AT12,,10,10,0,2,2,79,1936,2,2,38500,27.6,1.56806790828705
AT,AT000000025,AT12,AT1,AT12,,9,7,5,2,2,38,1977,3,3,38500,27.6,1.56806790828705
AT,AT000000026,AT12,AT1,AT12,,7,6,5,2,1,35,1980,3,2,38500,27.6,1.56806790828705
AT,AT000000033,AT11,AT1,AT11,,9,3,2,2,2,40,1975,4,3,38500,27.6,1.56806790828705
AT,AT000000034,AT11,AT1,AT11,,10,2,0,2,1,42,1972,3,3,38500,27.6,1.56806790828705
AT,AT000000035,AT11,AT1,AT11,,10,5,3,2,2,36,1979,3,3,38500,27.6,1.56806790828705
AT,AT000000036,AT11,AT1,AT11,,10,0,5,2,2,52,1963,3,3,38500,27.6,1.56806790828705
AT,AT000000037,AT11,AT1,AT11,,10,8,7,2,1,27,1988,5,3,38500,27.6,1.56806790828705
AT,AT000000038,AT11,AT1,AT11,,9,5,2,2,2,34,1981,3,3,38500,27.6,1.56806790828705
AT,AT000000039,AT11,AT1,AT11,,8,5,9,1,2,63,1951,1,1,38500,27.6,1.56806790828705
AT,AT000000040,AT11,AT1,AT11,,10,88,6,2,2,64,1951,1,3,38500,27.6,1.56806790828705
AT,AT000000045,AT12,AT1,AT12,,7,5,7,2,1,50,1965,3,3,38500,27.6,1.56806790828705
AT,AT000000046,AT12,AT1,AT12,,9,6,5,2,2,46,1969,5,2,38500,27.6,1.56806790828705
AT,AT000000047,AT12,AT1,AT12,,10,5,8,2,1,52,1963,3,2,38500,27.6,1.56806790828705
AT,AT000000048,AT12,AT1,AT12,,10,3,7,2,2,18,1997,2,5,38500,27.6,1.56806790828705
AT,AT000000049,AT12,AT1,AT12,,10,88,7,2,2,16,1999,2,5,38500,27.6,1.56806790828705
AT,AT000000050,AT12,AT1,AT12,,8,3,3,2,1,52,1963,3,2,38500,27.6,1.56806790828705
AT,AT000000051,AT12,AT1,AT12,,9,7,6,2,1,32,1983,3,4,38500,27.6,1.56806790828705
AT,AT000000052,AT12,AT1,AT12,,5,5,8,2,1,72,1943,2,2,38500,27.6,1.56806790828705
AT,AT000000057,AT13,AT1,AT13,,5,3,4,2,1,69,1946,3,88,38500,27.6,1.56806790828705
AT,AT000000058,AT13,AT1,AT13,,8,4,0,2,2,39,1976,7,2,38500,27.6,1.56806790828705
AT,AT000000059,AT13,AT1,AT13,,9,5,7,2,2,57,1958,7,7,38500,27.6,1.56806790828705
AT,AT000000065,AT22,AT2,AT22,,8,8,8,2,2,54,1961,3,3,38500,27.6,1.56806790828705
AT,AT000000066,AT22,AT2,AT22,,10,8,9,2,2,41,1974,3,3,38500,27.6,1.56806790828705
AT,AT000000067,AT22,AT2,AT22,,9,8,9,2,1,38,1977,3,3,38500,27.6,1.56806790828705
AT,AT000000068,AT22,AT2,AT22,,8,7,8,2,2,35,1980,5,7,38500,27.6,1.56806790828705
AT,AT000000077,AT12,AT1,AT12,,8,6,4,2,2,26,1989,5,2,38500,27.6,1.56806790828705
AT,AT000000078,AT12,AT1,AT12,,88,4,2,2,2,36,1979,2,3,38500,27.6,1.56806790828705
AT,AT000000079,AT12,AT1,AT12,,7,5,8,2,1,33,1982,3,5,38500,27.6,1.56806790828705
AT,AT000000080,AT12,AT1,AT12,,9,6,3,2,2,57,1958,6,3,38500,27.6,1.56806790828705
AT,AT000000081,AT12,AT1,AT12,,7,8,8,2,1,90,1925,2,2,38500,27.6,1.56806790828705
AT,AT000000082,AT12,AT1,AT12,,8,4,5,2,1,70,1945,3,2,38500,27.6,1.56806790828705
AT,AT000000089,AT12,AT1,AT12,,8,5,4,2,2,39,1975,3,3,38500,27.6,1.56806790828705
AT,AT000000090,AT12,AT1,AT12,,5,3,88,2,1,85,1929,1,1,38500,27.6,1.56806790828705
AT,AT000000091,AT12,AT1,AT12,,8,5,4,2,1,59,1955,2,1,38500,27.6,1.56806790828705
AT,AT000000092,AT12,AT1,AT12,,8,4,6,2,2,40,1974,3,1,38500,27.6,1.56806790828705
AT,AT000000093,AT12,AT1,AT12,,10,6,3,2,2,19,1996,3,3,38500,27.6,1.56806790828705
AT,AT000000094,AT12,AT1,AT12,,10,1,4,2,2,45,1969,6,4,38500,27.6,1.56806790828705
AT,AT000000095,AT12,AT1,AT12,,9,3,2,2,2,39,1975,7,2,38500,27.6,1.56806790828705
AT,AT000000096,AT12,AT1,AT12,,8,2,5,2,1,37,1977,3,3,38500,27.6,1.56806790828705
AT,AT000000101,AT12,AT1,AT12,,8,4,7,2,1,43,1972,3,3,38500,27.6,1.56806790828705
AT,AT000000102,AT12,AT1,AT12,,8,2,5,2,2,35,1980,4,2,38500,27.6,1.56806790828705
AT,AT000000103,AT12,AT1,AT12,,8,0,3,2,2,57,1958,4,3,38500,27.6,1.56806790828705
AT,AT000000104,AT12,AT1,AT12,,6,4,7,2,1,78,1937,55,1,38500,27.6,1.56806790828705
AT,AT000000105,AT12,AT1,AT12,,1,3,8,2,1,44,1971,3,2,38500,27.6,1.56806790828705
AT,AT000000106,AT12,AT1,AT12,,10,4,8,2,2,42,1973,7,3,38500,27.6,1.56806790828705
AT,AT000000107,AT12,AT1,AT12,,3,3,5,2,2,40,1975,3,3,38500,27.6,1.56806790828705
AT,AT000000108,AT12,AT1,AT12,,8,6,4,2,2,17,1998,2,5,38500,27.6,1.56806790828705
AT,AT000000109,AT12,AT1,AT12,,8,4,4,2,2,39,1976,7,2,38500,27.6,1.56806790828705
AT,AT000000113,AT12,AT1,AT12,,8,6,7,2,1,40,1975,3,3,38500,27.6,1.56806790828705
AT,AT000000114,AT12,AT1,AT12,,8,6,7,2,1,45,1970,5,2,38500,27.6,1.56806790828705
AT,AT000000115,AT12,AT1,AT12,,9,6,7,2,1,32,1983,3,2,38500,27.6,1.56806790828705
AT,AT000000116,AT12,AT1,AT12,,8,5,5,2,2,80,1935,1,1,38500,27.6,1.56806790828705
