GEO.id,GEO.id2,GEO.display-label,,HC01_VC116,HC01_VC117,HC01_VC118,HC01_VC119,HC01_VC120,HC01_VC121,HC01_VC122,HC01_VC123,HC01_VC124,HC01_VC125,HC01_VC177,HC01_VC178,HC01_VC179,HC01_VC180,HC01_VC181,HC01_VC182,HC01_VC183,HC01_VC184,HC01_VC185,HC01_VC187,,,HC01_VC118,HC01_VC119,HC01_VC120,HC01_VC121,HC01_VC122,HC01_VC123,HC01_VC124,HC01_VC125,HC01_VC126,HC01_VC127,,,HC01_VC119,HC01_VC120,HC01_VC121,HC01_VC122,HC01_VC123,HC01_VC124,HC01_VC125,HC01_VC126,HC01_VC127,HC01_VC128
Id,Id2,Geography,Census ID,Estimate; VALUE - Owner-occupied units,"Estimate; VALUE - Less than $50,000","Estimate; VALUE - $50,000 to $99,999","Estimate; VALUE - $100,000 to $149,999","Estimate; VALUE - $150,000 to $199,999","Estimate; VALUE - $200,000 to $299,999","Estimate; VALUE - $300,000 to $499,999","Estimate; VALUE - $500,000 to $999,999","Estimate; VALUE - $1,000,000 or more",Estimate; VALUE - Median (dollars),Estimate; GROSS RENT - Occupied units paying rent,Estimate; GROSS RENT - Less than $200,Estimate; GROSS RENT - $200 to $299,Estimate; GROSS RENT - $300 to $499,Estimate; GROSS RENT - $500 to $749,Estimate; GROSS RENT - $750 to $999,"Estimate; GROSS RENT - $1,000 to $1,499","Estimate; GROSS RENT - $1,500 or more",Estimate; GROSS RENT - Median (dollars),Estimate; GROSS RENT - No rent paid,,,Estimate; VALUE - Owner-occupied units,"Estimate; VALUE - Owner-occupied units - Less than $50,000","Estimate; VALUE - Owner-occupied units - $50,000 to $99,999","Estimate; VALUE - Owner-occupied units - $100,000 to $149,999","Estimate; VALUE - Owner-occupied units - $150,000 to $199,999","Estimate; VALUE - Owner-occupied units - $200,000 to $299,999","Estimate; VALUE - Owner-occupied units - $300,000 to $499,999","Estimate; VALUE - Owner-occupied units - $500,000 to $999,999","Estimate; VALUE - Owner-occupied units - $1,000,000 or more",Estimate; VALUE - Owner-occupied units - Median (dollars),,,Estimate; VALUE - Owner-occupied units,"Estimate; VALUE - Owner-occupied units - Less than $50,000","Estimate; VALUE - Owner-occupied units - $50,000 to $99,999","Estimate; VALUE - Owner-occupied units - $100,000 to $149,999","Estimate; VALUE - Owner-occupied units - $150,000 to $199,999","Estimate; VALUE - Owner-occupied units - $200,000 to $299,999","Estimate; VALUE - Owner-occupied units - $300,000 to $499,999","Estimate; VALUE - Owner-occupied units - $500,000 to $999,999","Estimate; VALUE - Owner-occupied units - $1,000,000 or more",Estimate; VALUE - Owner-occupied units - Median (dollars)
0500000US06037,6037,"Los Angeles County, California",,1523331,37493,29759,39042,59746,205117,526136,475918,150120,443300,1652924,9111,35871,47772,141660,331497,611354,475659,1187,42256,,,1503915,46650,30082,40142,63443,214658,525148,437615,146177,425100,,,1499576,44268,25011,29649,45425,171462,518501,490254,175006,465000
1400000US06037101110,6037101110,"Census Tract 1011.10, Los Angeles County, California",,818,8,0,8,36,141,471,128,26,368600,752,0,8,88,77,88,313,178,1144,68,,,806,27,0,7,45,100,509,88,30,371300,,,771,29,0,0,26,144,444,128,0,402500
1400000US06037101122,6037101122,"Census Tract 1011.22, Los Angeles County, California",,1040,12,0,0,20,74,526,403,5,465700,191,0,0,0,9,0,49,133,1768,0,,,1020,20,0,0,0,86,413,495,6,496500,,,1012,30,0,0,0,31,330,614,7,552100
1400000US06037101210,6037101210,"Census Tract 1012.10, Los Angeles County, California",,340,0,0,12,24,138,130,36,0,298200,1848,0,14,20,103,380,1078,253,1165,12,,,344,0,0,13,35,126,145,25,0,299000,,,302,0,0,25,31,57,168,21,0,328600
1400000US06037101220,6037101220,"Census Tract 1012.20, Los Angeles County, California",,451,12,0,0,53,99,204,73,10,366100,742,0,6,45,57,271,240,123,992,26,,,410,10,0,24,57,78,175,55,11,340900,,,427,0,0,20,13,76,247,64,7,369700
1400000US06037101300,6037101300,"Census Tract 1013, Los Angeles County, California",,1334,18,0,14,10,66,634,584,8,482700,143,0,0,0,0,9,72,62,1352,58,,,1308,27,0,0,0,63,762,444,12,453300,,,1243,14,7,10,5,21,555,606,25,504400
1400000US06037101400,6037101400,"Census Tract 1014, Los Angeles County, California",,995,16,0,18,62,161,346,382,10,459300,462,0,0,50,22,95,167,128,1143,19,,,1062,47,0,7,65,127,353,440,23,464200,,,1032,54,8,0,22,81,281,547,39,537200
1400000US06037102103,6037102103,"Census Tract 1021.03, Los Angeles County, California",,482,6,0,11,0,46,198,218,3,485600,150,0,0,0,0,44,0,106,"2,000+",24,,,511,7,0,8,0,42,215,227,12,489500,,,462,5,0,5,0,4,214,230,4,503300
1400000US06037102104,6037102104,"Census Tract 1021.04, Los Angeles County, California",,1033,0,0,0,0,12,766,255,0,447500,257,0,0,0,0,46,27,184,"2,000+",48,,,1000,0,0,0,35,15,753,197,0,418300,,,1003,0,0,0,30,0,645,298,30,450000
