GEO.id,GEO.id2,GEO.display-label,,HC01_VC116,HC01_VC117,HC01_VC118,HC01_VC119,HC01_VC120,HC01_VC121,HC01_VC122,HC01_VC123,HC01_VC124,HC01_VC125,HC01_VC177,HC01_VC178,HC01_VC179,HC01_VC180,HC01_VC181,HC01_VC182,HC01_VC183,HC01_VC184,HC01_VC185,HC01_VC187
Id,Id2,Geography,Census ID,Estimate; VALUE - Owner-occupied units,"Estimate; VALUE - Less than $50,000","Estimate; VALUE - $50,000 to $99,999","Estimate; VALUE - $100,000 to $149,999","Estimate; VALUE - $150,000 to $199,999","Estimate; VALUE - $200,000 to $299,999","Estimate; VALUE - $300,000 to $499,999","Estimate; VALUE - $500,000 to $999,999","Estimate; VALUE - $1,000,000 or more",Estimate; VALUE - Median (dollars),Estimate; GROSS RENT - Occupied units paying rent,Estimate; GROSS RENT - Less than $200,Estimate; GROSS RENT - $200 to $299,Estimate; GROSS RENT - $300 to $499,Estimate; GROSS RENT - $500 to $749,Estimate; GROSS RENT - $750 to $999,"Estimate; GROSS RENT - $1,000 to $1,499","Estimate; GROSS RENT - $1,500 or more",Estimate; GROSS RENT - Median (dollars),Estimate; GROSS RENT - No rent paid
0500000US06037,6037,"Los Angeles County, California",,1523331,37493,29759,39042,59746,205117,526136,475918,150120,443300,1652924,9111,35871,47772,141660,331497,611354,475659,1187,42256
1400000US06037101110,6037101110,"Census Tract 1011.10, Los Angeles County, California",,818,8,0,8,36,141,471,128,26,368600,752,0,8,88,77,88,313,178,1144,68
1400000US06037101122,6037101122,"Census Tract 1011.22, Los Angeles County, California",,1040,12,0,0,20,74,526,403,5,465700,191,0,0,0,9,0,49,133,1768,0
1400000US06037101210,6037101210,"Census Tract 1012.10, Los Angeles County, California",,340,0,0,12,24,138,130,36,0,298200,1848,0,14,20,103,380,1078,253,1165,12
1400000US06037101220,6037101220,"Census Tract 1012.20, Los Angeles County, California",,451,12,0,0,53,99,204,73,10,366100,742,0,6,45,57,271,240,123,992,26
1400000US06037101300,6037101300,"Census Tract 1013, Los Angeles County, California",,1334,18,0,14,10,66,634,584,8,482700,143,0,0,0,0,9,72,62,1352,58
1400000US06037101400,6037101400,"Census Tract 1014, Los Angeles County, California",,995,16,0,18,62,161,346,382,10,459300,462,0,0,50,22,95,167,128,1143,19
1400000US06037102103,6037102103,"Census Tract 1021.03, Los Angeles County, California",,482,6,0,11,0,46,198,218,3,485600,150,0,0,0,0,44,0,106,"2,000+",24
1400000US06037102104,6037102104,"Census Tract 1021.04, Los Angeles County, California",,1033,0,0,0,0,12,766,255,0,447500,257,0,0,0,0,46,27,184,"2,000+",48
1400000US06037102105,6037102105,"Census Tract 1021.05, Los Angeles County, California",,389,12,0,13,5,17,262,80,0,425600,163,0,0,0,3,20,100,40,1200,20
1400000US06037102107,6037102107,"Census Tract 1021.07, Los Angeles County, California",,827,0,0,0,15,141,210,401,60,540300,432,33,12,108,90,22,51,116,680,0
1400000US06037103101,6037103101,"Census Tract 1031.01, Los Angeles County, California",,734,8,0,0,7,85,478,156,0,408700,165,0,0,11,14,9,11,120,1818,9
1400000US06037103102,6037103102,"Census Tract 1031.02, Los Angeles County, California",,1154,11,10,15,50,203,697,157,11,364700,450,0,47,51,14,40,97,201,1375,13
1400000US06037103200,6037103200,"Census Tract 1032, Los Angeles County, California",,1583,116,0,8,11,110,915,423,0,425600,596,0,0,41,29,172,162,192,1143,56
1400000US06037103300,6037103300,"Census Tract 1033, Los Angeles County, California",,1045,17,0,0,7,7,226,711,77,643700,199,0,0,0,0,23,30,146,"2,000+",40
1400000US06037103400,6037103400,"Census Tract 1034, Los Angeles County, California",,1520,89,0,0,44,366,677,344,0,354600,946,0,0,0,85,302,256,303,1108,0
1400000US06037104103,6037104103,"Census Tract 1041.03, Los Angeles County, California",,571,4,4,4,8,223,274,54,0,323000,139,0,0,0,23,14,19,83,1630,26
1400000US06037104105,6037104105,"Census Tract 1041.05, Los Angeles County, California",,655,28,61,78,148,233,97,10,0,203600,708,34,88,67,200,80,128,111,675,18
1400000US06037104108,6037104108,"Census Tract 1041.08, Los Angeles County, California",,592,47,67,17,20,169,171,101,0,291700,716,0,116,67,0,108,201,224,1280,12
1400000US06037104124,6037104124,"Census Tract 1041.24, Los Angeles County, California",,889,12,4,9,60,223,509,72,0,332100,213,0,0,13,32,10,119,39,1234,18
1400000US06037104201,6037104201,"Census Tract 1042.01, Los Angeles County, California",,684,0,0,23,10,337,311,3,0,291000,201,0,0,41,20,55,6,79,972,0
1400000US06037104203,6037104203,"Census Tract 1042.03, Los Angeles County, California",,415,0,0,69,11,136,161,38,0,294800,545,0,74,17,53,116,172,113,1039,0
1400000US06037104204,6037104204,"Census Tract 1042.04, Los Angeles County, California",,418,112,22,23,8,80,155,18,0,266000,258,0,9,35,17,63,95,39,1018,9
1400000US06037104310,6037104310,"Census Tract 1043.10, Los Angeles County, California",,590,5,7,33,67,168,261,49,0,307500,226,0,0,0,20,8,6,192,1706,24
1400000US06037104320,6037104320,"Census Tract 1043.20, Los Angeles County, California",,660,27,10,98,75,185,248,17,0,256700,451,14,51,34,35,18,50,249,1606,9
