Id,Id2,Geography,Census_ID,Median_Value_2012,Median_Value_2014,Median_Value_2016,Change_in_Median_Value_201216,MedianChange
1400000US06037900704,6037900704,"Census Tract 9007.04, Los Angeles County, California",900704,10000,10000,10800,800,800
1400000US06037900602,6037900602,"Census Tract 9006.02, Los Angeles County, California",900602,31900,38800,42500,10600,10600
1400000US06037910602,6037910602,"Census Tract 9106.02, Los Angeles County, California",910602,81800,68700,62400,-19400,-19400
1400000US06037543305,6037543305,"Census Tract 5433.05, Los Angeles County, California",543305,77000,70300,69600,-7400,-7400
1400000US06037900605,6037900605,"Census Tract 9006.05, Los Angeles County, California",900605,66300,68000,77000,10700,10700
1400000US06037570603,6037570603,"Census Tract 5706.03, Los Angeles County, California",570603,82200,105200,79800,-2400,-2400
1400000US06037910403,6037910403,"Census Tract 9104.03, Los Angeles County, California",910403,121300,89600,89700,-31600,-31600
1400000US06037900103,6037900103,"Census Tract 9001.03, Los Angeles County, California",900103,122400,97900,109900,-12500,-12500
1400000US06037900609,6037900609,"Census Tract 9006.09, Los Angeles County, California",900609,116300,110600,113800,-2500,-2500
1400000US06037211922,6037211922,"Census Tract 2119.22, Los Angeles County, California",211922,183800,185700,115000,-68800,-68800
1400000US06037900102,6037900102,"Census Tract 9001.02, Los Angeles County, California",900102,160000,93800,115600,-44400,-44400
1400000US06037910402,6037910402,"Census Tract 9104.02, Los Angeles County, California",910402,112900,104300,116400,3500,3500
1400000US06037900606,6037900606,"Census Tract 9006.06, Los Angeles County, California",900606,116500,99600,121000,4500,4500
1400000US06037900701,6037900701,"Census Tract 9007.01, Los Angeles County, California",900701,138500,115400,124800,-13700,-13700
1400000US06037900507,6037900507,"Census Tract 9005.07, Los Angeles County, California",900507,118100,120200,126000,7900,7900
1400000US06037900804,6037900804,"Census Tract 9008.04, Los Angeles County, California",900804,97700,89400,128200,30500,30500
1400000US06037910502,6037910502,"Census Tract 9105.02, Los Angeles County, California",910502,113900,112400,128200,14300,14300
1400000US06037900607,6037900607,"Census Tract 9006.07, Los Angeles County, California",900607,123100,92900,128400,5300,5300
1400000US06037900104,6037900104,"Census Tract 9001.04, Los Angeles County, California",900104,79700,87100,130700,51000,51000
1400000US06037900501,6037900501,"Census Tract 9005.01, Los Angeles County, California",900501,119200,120200,133700,14500,14500
1400000US06037900703,6037900703,"Census Tract 9007.03, Los Angeles County, California",900703,125400,115800,134400,9000,9000
1400000US06037117407,6037117407,"Census Tract 1174.07, Los Angeles County, California",117407,595200,133300,135900,-459300,-459300
1400000US06037553802,6037553802,"Census Tract 5538.02, Los Angeles County, California",553802,187300,131400,139900,-47400,-47400
1400000US06037910504,6037910504,"Census Tract 9105.04, Los Angeles County, California",910504,123000,121200,142700,19700,19700
1400000US06037910601,6037910601,"Census Tract 9106.01, Los Angeles County, California",910601,111500,114600,146500,35000,35000
1400000US06037910711,6037910711,"Census Tract 9107.11, Los Angeles County, California",910711,137300,130000,147200,9900,9900
1400000US06037910707,6037910707,"Census Tract 9107.07, Los Angeles County, California",910707,145900,150800,151300,5400,5400
1400000US06037900805,6037900805,"Census Tract 9008.05, Los Angeles County, California",900805,153000,139900,154900,1900,1900
1400000US06037900505,6037900505,"Census Tract 9005.05, Los Angeles County, California",900505,179700,146000,157700,-22000,-22000
1400000US06037402501,6037402501,"Census Tract 4025.01, Los Angeles County, California",402501,156100,169100,158500,2400,2400
1400000US06037910603,6037910603,"Census Tract 9106.03, Los Angeles County, California",910603,152600,135800,158800,6200,6200
1400000US06037910002,6037910002,"Census Tract 9100.02, Los Angeles County, California",910002,151600,137200,159400,7800,7800
1400000US06037910404,6037910404,"Census Tract 9104.04, Los Angeles County, California",910404,148900,123400,161400,12500,12500
1400000US06037900506,6037900506,"Census Tract 9005.06, Los Angeles County, California",900506,143300,144300,162800,19500,19500
1400000US06037901008,6037901008,"Census Tract 9010.08, Los Angeles County, California",901008,157000,159000,164400,7400,7400
1400000US06037117405,6037117405,"Census Tract 1174.05, Los Angeles County, California",117405,145800,151300,164900,19100,19100
1400000US06037910606,6037910606,"Census Tract 9106.06, Los Angeles County, California",910606,139800,140300,166500,26700,26700
1400000US06037910714,6037910714,"Census Tract 9107.14, Los Angeles County, California",910714,120400,123700,167200,46800,46800
1400000US06037900300,6037900300,"Census Tract 9003, Los Angeles County, California",900300,132400,146600,168100,35700,35700
1400000US06037910001,6037910001,"Census Tract 9100.01, Los Angeles County, California",910001,157900,150000,171500,13600,13600
1400000US06037224020,6037224020,"Census Tract 2240.20, Los Angeles County, California",224020,294600,171100,172300,-122300,-122300
1400000US06037900608,6037900608,"Census Tract 9006.08, Los Angeles County, California",900608,150200,143800,173100,22900,22900
1400000US06037910505,6037910505,"Census Tract 9105.05, Los Angeles County, California",910505,147100,142700,173500,26400,26400
1400000US06037910605,6037910605,"Census Tract 9106.05, Los Angeles County, California",910605,115300,128100,175600,60300,60300
1400000US06037900806,6037900806,"Census Tract 9008.06, Los Angeles County, California",900806,109400,106100,176100,66700,66700
1400000US06037900803,6037900803,"Census Tract 9008.03, Los Angeles County, California",900803,164400,150800,176200,11800,11800
1400000US06037920038,6037920038,"Census Tract 9200.38, Los Angeles County, California",920038,155700,145700,181100,25400,25400
1400000US06037900201,6037900201,"Census Tract 9002.01, Los Angeles County, California",900201,167200,138600,181100,13900,13900
1400000US06037104704,6037104704,"Census Tract 1047.04, Los Angeles County, California",104704,214300,168300,184400,-29900,-29900
1400000US06037534404,6037534404,"Census Tract 5344.04, Los Angeles County, California",534404,151500,155400,185000,33500,33500
1400000US06037910706,6037910706,"Census Tract 9107.06, Los Angeles County, California",910706,169600,161600,186400,16800,16800
1400000US06037575902,6037575902,"Census Tract 5759.02, Los Angeles County, California",575902,176300,166300,186500,10200,10200
1400000US06037910712,6037910712,"Census Tract 9107.12, Los Angeles County, California",910712,196200,163400,186900,-9300,-9300
1400000US06037120103,6037120103,"Census Tract 1201.03, Los Angeles County, California",120103,127100,260700,187500,60400,60400
1400000US06037211803,6037211803,"Census Tract 2118.03, Los Angeles County, California",211803,309500,325000,189100,-120400,-120400
1400000US06037120108,6037120108,"Census Tract 1201.08, Los Angeles County, California",120108,179700,148400,190000,10300,10300
1400000US06037500500,6037500500,"Census Tract 5005, Los Angeles County, California",500500,200200,184500,192900,-7300,-7300
