tract2,county,sqmi,pop15den,pop90,pop00,pop15,nhw90,nhw00,nhw15,blk90,blk00,blk15,asian90,asian00,asian15,hisp90,hisp00,hisp15,lths90,lths00,lths15,col90,col00,col15,jobs15,povt90,povt00,povt15,inc15,inc90,inc00,rent90,rent00,rent15,burd90,burd00,burd15,mgr90,mgr00,mgr15,hcv00,hcv15,chg_mgr15,chg_nhw00,chg_nhw15,chg_lths00,chg_lths15,chg_col00,chg_col15,chg_inc00,chg_inc15,chg_burd00,chg_burd15,chg_mgr00,chg_hcv15,race90,race00,race15,disadv00,disadv15,gent00,gent15,disadv,gent,job15den
 ,37,0.441085,10936.66754,611.9523725,4500,4824,0.79082864,0.586222222,0.556799337,0.009922231,0.019111111,0.012852405,0.047599893,0.073111111,0.07566335,0.145883619,0.281555556,0.337064677,0.198884018,0.194095691,0.196910027,0.208250299,0.191381065,0.193577704,540,0.063461539,0.131091283,0.14461408,50694,88331.29037,59162.69473,0.32474803,0.494464945,0.53556231,0.390804598,0.407960199,0.652667423,1133.101566,964.7754941,1336,0.004305043,0.023100304,371.2245059,-0.204606418,-0.029422886,-0.004788327,0.002814337,-0.016869233,0.002196638,-29168.59564,-8468.694728,0.017155601,0.244707224,-168.3260724,0.018795261,01. Majority NHW,01. Majority NHW,01. Majority NHW,0,0,0,0,,,1224.253829
6037101122,37,1.020871,3223.717786,6640.576659,3176,3291,0.790941888,0.740548775,0.752354907,0.009913751,0.018292683,0.004557885,0.04760065,0.05945122,0.094804011,0.145782839,0.147256097,0.123974476,0.198789202,0.118838028,0.046249514,0.208385704,0.269806338,0.271667314,186,0.063447004,0.039457071,0.02679659,107400,88337.41721,76101.69159,0.324400112,0.144527996,0.158456486,0.390968072,0.358381503,0.404145078,1133.486539,1307.470356,2130,0.000835422,0.002463054,822.5296443,-0.050393113,0.011806132,-0.079951173,-0.072588514,0.061420634,0.001860976,-12235.72563,31298.30841,-0.032586569,0.045763575,173.9838164,0.001627632,01. Majority NHW,01. Majority NHW,01. Majority NHW,0,0,0,0,,,182.1973589
6037101210,37,0.2512332,23412.51077,3892.256805,6066,5882,0.63260978,0.411473788,0.417035022,0.01758982,0.056709529,0.03349201,0.053143713,0.056214969,0.014790887,0.294910194,0.431256182,0.487759266,0.269506537,0.361039703,0.227835562,0.137072965,0.161668095,0.165923725,915,0.237871469,0.262711864,0.240224413,39502,53441.12907,44796.42092,0.792655165,0.875888205,0.849934754,0.415334153,0.390481341,0.517400205,1087.35523,845.0387352,1120,0.035528186,0.09569378,274.9612648,-0.221135992,0.005561234,0.091533166,-0.133204141,0.02459513,0.00425563,-8644.708145,-5294.420924,-0.024852812,0.126918863,-242.3164947,0.060165594,01. Majority NHW,05. No Majority,05. No Majority,1,1,0,0,Disadvantaged Both Decades,"Disadvantaged, Did Not Gentrify",3642.034572
6037101220,37,0.2698727,10753.21809,4123.742926,3028,2902,0.63260978,0.517833554,0.538938663,0.01758982,0.019154557,0.020675396,0.053143713,0.053500661,0.140248105,0.294910185,0.361624835,0.259131633,0.269506537,0.392411642,0.178491745,0.137072965,0.122661123,0.198125837,466,0.237871482,0.204978985,0.142315644,41129,53441.13237,39252.54189,0.792655211,0.630398671,0.633161512,0.415334153,0.537549407,0.698778833,1087.35523,878.0695652,1087,0.018272425,0.060996564,208.9304348,-0.114776227,0.021105109,0.122905105,-0.213919898,-0.014411842,0.075464714,-14188.59049,1876.458112,0.122215254,0.161229426,-209.2856647,0.042724138,01. Majority NHW,01. Majority NHW,01. Majority NHW,1,1,0,0,Disadvantaged Both Decades,"Disadvantaged, Did Not Gentrify",1726.740052
6037101300,37,0.9962984,4426.384706,3850.664672,3973.996899,4410,0.854376452,0.786612984,0.788662132,0.005163956,0.005535984,0.008843537,0.048024787,0.0656769,0.089342404,0.089336431,0.097131353,0.103854875,0.149519402,0.147983595,0.101355167,0.278746885,0.299384826,0.31027668,997,0.055469153,0.035029404,0.07314836,80890,91678.51208,87471.195,0.136111105,0.147849456,0.141368078,0.602040816,0.286363636,0.6359447,1634.551794,1270.310672,1936,0,0.001954397,665.6893281,-0.067763468,0.002049148,-0.001535807,-0.046628429,0.020637941,0.010891854,-4207.317084,-6581.195,-0.31567718,0.349581064,-364.2411219,0.001954397,01. Majority NHW,01. Majority NHW,01. Majority NHW,0,0,0,0,,,1000.704207
6037101400,37,2.435993,1686.786456,3509.000007,3760,4109,0.822741522,0.705585106,0.620345583,0.007409518,0.011170213,0.008517888,0.047591907,0.063297872,0.059625213,0.11399259,0.170478723,0.243124848,0.148486105,0.178103315,0.105549881,0.293654085,0.308404009,0.276813075,956,0.068076477,0.034044853,0.116330007,60385,83311.37344,69963.01349,0.246616542,0.267191977,0.351134846,0.487804878,0.375335121,0.77756654,1217.556342,1095.52253,1117,0.005730659,0.025367156,21.47747036,-0.117156415,-0.085239524,0.02961721,-0.072553435,0.014749924,-0.031590935,-13348.35996,-9578.013486,-0.112469757,0.402231419,-122.0338119,0.019636497,01. Majority NHW,01. Majority NHW,01. Majority NHW,0,0,0,0,,,392.4477615
6037102103,37,0.4580994,4038.424848,1629.056918,1696.944098,1850,0.606058411,0.517805289,0.748648649,0.020934589,0.020734966,0,0.091427243,0.095673817,0.034594595,0.282777087,0.330334754,0.210810811,0.218501407,0.179814524,0.091520861,0.215485504,0.290539813,0.380888291,129,0.078445519,0.093295377,0.065405405,72222,90847.53995,88453.5443,0.205478884,0.221714573,0.311764706,0.468861663,0.437197289,0.75,1442.510382,1385.350952,2217,0.002564732,0.030882353,831.6490484,-0.088253123,0.23084336,-0.038686883,-0.088293663,0.07505431,0.090348477,-2393.995651,-16231.5443,-0.031664374,0.312802711,-57.1594302,0.02831762,01. Majority NHW,01. Majority NHW,01. Majority NHW,0,0,0,0,,,281.5982732
6037102104,37,0.6409497,5431.0034,2829.065099,2960.062566,3481,0.631138722,0.538655582,0.692904338,0.017977402,0.020922986,0.016949153,0.096407197,0.101053569,0.143062338,0.255716374,0.302270367,0.139327779,0.201185665,0.159599913,0.092738753,0.225112583,0.306153512,0.438831886,1172,0.066360497,0.081019224,0.06795818,74878,93415.17398,91010.11284,0.183362391,0.202100834,0.213292117,0.462614565,0.442827443,0.532608696,1537.785911,1479.505929,2240,0.002521008,0.000772798,760.4940711,-0.09248314,0.154248756,-0.041585752,-0.06686116,0.081040928,0.132678375,-2405.061148,-16132.11284,-0.019787122,0.089781253,-58.27998262,-0.001748211,01. Majority NHW,01. Majority NHW,01. Majority NHW,0,0,0,0,,,1828.536623
6037102105,37,0.190048,10218.47112,1769.581181,1851.511546,1942,0.630821835,0.538342208,0.224510814,0.017990437,0.020920901,0.027291452,0.096376201,0.101011256,0.084449022,0.256053992,0.302645032,0.66838311,0.201382762,0.159836503,0.258660508,0.225029391,0.306004346,0.160892995,209,0.066478042,0.081125815,0.176622039,46969,93390.92269,90987.12264,0.183575836,0.202307079,0.535528596,0.462712961,0.442835499,0.566343042,1536.943433,1478.592372,1339,0.002522378,0.005199307,-139.5923718,-0.092479627,-0.313831395,-0.041546259,0.098824005,0.080974955,-0.145111352,-2403.800042,-44018.12264,-0.019877463,0.123507544,-58.35106119,0.002676929,01. Majority NHW,01. Majority NHW,03. Majority Hisp,0,0,0,0,,,1099.722175
6037102107,37,4.984026,788.920443,3698.704641,3566.220883,3932,0.616083693,0.605603059,0.550356053,0.055825744,0.020096931,0.013987792,0.043334103,0.054122647,0.165055951,0.280732197,0.290633593,0.256866734,0.244318446,0.201091019,0.119312437,0.155566637,0.217061606,0.286821705,1071,0.129375689,0.172152973,0.141117289,62857,77540.36845,72637.44911,0.311397891,0.291319451,0.280604134,0.452872494,0.336315145,0.575070822,990.8032405,956.6747311,1125,0.001207819,0.002384738,168.3252689,-0.010480634,-0.055247006,-0.043227427,-0.081778582,0.06149497,0.069760099,-4902.919349,-9780.449106,-0.116557349,0.238755676,-34.12850939,0.001176919,01. Majority NHW,01. Majority NHW,01. Majority NHW,0,0,0,0,,,214.8865195
