Census_ID,tract2,chg_mgr15,chg_nhw00,chg_nhw15,chg_lths00,chg_lths15,chg_col00,chg_col15,chg_inc00,chg_inc15,chg_burd00,chg_burd15,chg_mgr00,chg_hcv15
101122,6037101122,822.53,-0.05,0.01,-0.08,-0.07,0.06,0.00,-12235.73,31298.31,-0.03,0.05,173.98,0.00
101210,6037101210,274.96,-0.22,0.01,0.09,-0.13,0.02,0.00,-8644.71,-5294.42,-0.02,0.13,-242.32,0.06
101220,6037101220,208.93,-0.11,0.02,0.12,-0.21,-0.01,0.08,-14188.59,1876.46,0.12,0.16,-209.29,0.04
101300,6037101300,665.69,-0.07,0.00,0.00,-0.05,0.02,0.01,-4207.32,-6581.20,-0.32,0.35,-364.24,0.00
101400,6037101400,21.48,-0.12,-0.09,0.03,-0.07,0.01,-0.03,-13348.36,-9578.01,-0.11,0.40,-122.03,0.02
102103,6037102103,831.65,-0.09,0.23,-0.04,-0.09,0.08,0.09,-2394.00,-16231.54,-0.03,0.31,-57.16,0.03
102104,6037102104,760.49,-0.09,0.15,-0.04,-0.07,0.08,0.13,-2405.06,-16132.11,-0.02,0.09,-58.28,0.00
102105,6037102105,-139.59,-0.09,-0.31,-0.04,0.10,0.08,-0.15,-2403.80,-44018.12,-0.02,0.12,-58.35,0.00
102107,6037102107,168.33,-0.01,-0.06,-0.04,-0.08,0.06,0.07,-4902.92,-9780.45,-0.12,0.24,-34.13,0.00
103101,6037103101,-297.62,-0.11,-0.06,-0.01,-0.03,-0.02,0.04,-12799.49,-12137.22,0.11,0.26,-160.61,0.00
103102,6037103102,510.55,-0.16,-0.04,-0.07,-0.04,0.03,0.06,-1973.05,5325.45,0.09,-0.01,-357.46,0.00
103200,6037103200,19.32,-0.11,-0.18,-0.04,0.03,0.10,-0.03,-659.48,-18972.74,0.02,0.21,-159.51,0.00
103300,6037103300,378.47,-0.04,-0.02,-0.05,-0.01,0.01,0.17,-8972.97,-19360.94,0.06,0.12,181.08,0.00
103400,6037103400,377.44,-0.12,-0.07,-0.02,-0.07,0.06,0.05,-6608.11,-4684.15,-0.01,0.19,-97.35,0.01
104103,6037104103,65.40,-0.13,-0.04,0.08,-0.13,-0.01,-0.02,-3986.50,-9690.25,-0.01,-0.08,-182.64,-0.02
104105,6037104105,91.21,-0.07,0.01,0.02,-0.10,0.01,0.05,-9322.65,-10078.03,-0.17,0.34,-357.01,-0.01
104108,6037104108,318.73,-0.06,-0.03,0.03,-0.12,-0.03,0.07,-7053.19,-4722.49,0.03,0.02,54.47,-0.01
104124,6037104124,218.87,0.08,-0.01,-0.14,-0.07,0.06,0.09,-12023.59,9218.14,-0.35,0.24,-580.12,-0.01
104201,6037104201,686.08,0.01,-0.02,0.02,-0.21,0.00,0.01,-12875.27,-12557.95,-0.29,0.23,-276.34,0.00
104203,6037104203,490.49,-0.03,-0.07,0.06,-0.09,-0.02,-0.02,-4761.37,-3091.69,0.23,0.02,-0.89,-0.02
104204,6037104204,182.49,-0.03,0.04,0.06,-0.15,-0.02,0.04,-4761.37,-10834.69,0.23,0.28,-0.89,-0.03
104310,6037104310,380.07,0.00,-0.01,-0.01,-0.20,0.00,0.02,2481.52,-9157.45,-0.05,0.38,138.02,0.00
104320,6037104320,140.45,0.00,0.01,-0.01,-0.24,0.00,0.04,1775.55,-9581.65,-0.10,0.25,-269.79,-0.01
104401,6037104401,665.51,-0.01,-0.02,-0.04,-0.15,0.01,0.04,-7272.98,4465.91,-0.01,0.28,-164.79,0.00
104403,6037104403,378.02,0.00,0.00,-0.05,-0.19,0.01,0.08,-5602.92,-13633.15,-0.02,0.27,-173.34,0.00
104404,6037104404,355.59,-0.01,-0.02,-0.04,-0.19,0.01,0.01,-7432.35,-4083.22,-0.01,0.28,-159.68,0.01
104500,6037104500,156.28,-0.01,-0.03,-0.05,-0.15,0.00,0.01,-1734.27,-13987.89,-0.11,0.01,-287.17,-0.01
104610,6037104610,454.06,-0.01,-0.01,0.02,-0.25,0.02,0.00,-8863.90,-2148.67,0.01,0.19,-179.98,0.00
104620,6037104620,418.49,-0.01,-0.02,0.03,-0.18,-0.01,0.03,-10745.06,2502.49,0.16,0.09,-236.41,0.00
104701,6037104701,271.62,0.00,-0.01,0.03,-0.25,0.00,0.06,-2972.64,-3013.55,-0.14,0.23,-90.54,0.00
104703,6037104703,344.84,-0.09,-0.06,0.07,-0.01,-0.09,0.06,-13507.09,-7134.92,-0.16,0.08,-448.01,0.06
104704,6037104704,387.84,-0.09,-0.03,0.07,-0.17,-0.09,0.08,-13507.09,4515.08,-0.16,0.06,-448.01,0.00
104810,6037104810,215.29,-0.04,-0.02,0.00,-0.21,-0.01,0.03,-1024.56,6792.63,-0.02,0.25,167.64,0.00
104821,6037104821,366.85,-0.04,0.00,0.06,-0.24,0.02,0.05,-15471.94,4644.01,0.01,0.15,-159.91,-0.02
104822,6037104822,370.59,-0.04,-0.03,0.04,-0.13,0.01,0.03,-14179.34,3472.91,0.00,0.23,-171.55,0.04
106010,6037106010,441.82,-0.20,-0.11,-0.02,0.00,0.01,0.02,-15488.49,1020.79,-0.11,0.39,-103.65,0.00
106020,6037106020,457.42,-0.25,-0.10,0.08,0.02,-0.07,0.05,-9144.16,-9536.46,0.01,0.00,-263.59,-0.01
106111,6037106111,499.44,-0.20,-0.15,0.02,0.05,0.00,0.03,-13165.62,-2271.99,0.10,-0.24,-226.50,-0.01
106112,6037106112,353.26,-0.27,-0.09,-0.02,-0.08,0.02,0.11,-7308.24,-8085.84,0.05,0.19,-93.15,-0.01
106113,6037106113,-305.20,-0.10,-0.12,-0.03,-0.09,-0.04,0.12,10937.70,-13111.22,-0.11,0.16,573.41,0.00
106114,6037106114,156.23,-0.23,-0.07,0.12,-0.14,-0.06,0.07,-16435.16,-7340.98,-0.05,0.25,-31.13,0.00
106403,6037106403,577.88,-0.17,-0.06,0.20,-0.19,-0.04,-0.01,7544.41,-14117.75,-0.10,0.22,130.37,0.00
106405,6037106405,17.52,-0.23,-0.15,0.02,0.08,-0.01,-0.05,-9030.00,-26519.02,-0.14,0.21,-11.93,0.01
106406,6037106406,567.54,-0.26,-0.13,0.04,-0.12,-0.02,0.09,-5716.43,-3062.34,-0.17,0.21,59.95,0.00
106407,6037106407,380.09,-0.16,0.06,0.12,-0.16,-0.01,0.03,-21960.77,-9697.44,0.00,0.21,-328.00,0.03
106408,6037106408,286.31,-0.20,-0.14,0.13,-0.06,-0.04,0.00,-22140.99,-10401.29,0.00,0.09,-333.81,-0.06
106510,6037106510,371.13,-0.10,-0.16,-0.15,0.01,0.09,0.06,2287.95,-747.87,-0.16,0.21,-228.46,0.01
106520,6037106520,414.58,-0.25,-0.07,0.22,-0.18,-0.07,0.02,-18326.97,-2133.48,-0.10,0.29,-335.94,-0.01
106603,6037106603,458.28,-0.10,-0.03,-0.01,0.01,0.13,-0.02,-5576.36,-48631.92,0.07,-0.01,646.87,0.00
106604,6037106604,369.67,-0.12,-0.02,-0.04,-0.10,0.02,-0.02,5473.36,-19975.19,-0.13,0.20,-325.95,0.00
106641,6037106641,887.73,-0.12,-0.03,0.00,-0.04,0.07,0.12,-13216.97,-15394.69,0.30,-0.04,533.03,0.00
106642,6037106642,963.91,-0.14,-0.15,0.03,-0.05,0.03,-0.07,-21090.60,-4223.95,-0.10,0.59,291.86,0.00
106643,6037106643,-539.43,-0.08,-0.09,0.00,0.01,-0.02,0.08,-2188.12,-19359.03,0.62,-0.68,682.20,0.00
106645,6037106645,547.15,-0.08,0.12,-0.07,-0.07,0.06,0.19,-20751.23,-1939.07,0.07,0.19,241.40,0.00
106646,6037106646,655.32,-0.13,-0.10,-0.05,0.03,0.04,-0.02,-14207.68,-16738.38,0.00,0.42,59.53,0.00
106648,6037106648,73.44,-0.12,-0.10,0.01,-0.03,-0.03,-0.01,10056.96,-36564.84,-0.03,0.23,-337.02,0.01
106649,6037106649,658.75,-0.12,0.01,0.00,-0.25,-0.03,0.22,9718.16,5201.65,-0.04,-0.03,-334.24,0.00
107010,6037107010,236.59,-0.14,-0.05,0.04,-0.15,-0.05,0.06,-12830.46,-6115.96,-0.10,0.35,-174.97,-0.01
107020,6037107020,663.92,-0.15,-0.04,-0.01,-0.19,-0.01,0.10,-5485.18,4511.07,-0.06,0.16,-384.03,-0.01
108101,6037108101,1051.62,-0.04,-0.07,0.02,-0.02,-0.01,0.13,-34330.85,23925.21,0.36,-0.06,654.15,0.00
108102,6037108102,245.02,-0.13,-0.06,0.02,-0.02,0.02,0.09,-25002.79,-32320.12,-0.05,-0.06,526.75,0.00
108103,6037108103,-373.23,-0.05,0.04,0.01,-0.06,0.06,0.11,-43392.31,-11293.19,0.22,-0.20,986.99,0.00
108104,6037108104,948.19,-0.09,-0.04,0.01,-0.05,0.00,0.08,4492.68,-45637.24,-0.11,0.52,557.57,0.00
108201,6037108201,474.69,-0.20,-0.10,-0.02,0.01,0.18,-0.03,13064.85,-40789.94,0.02,-0.19,654.08,0.00
108202,6037108202,-698.24,-0.20,-0.10,-0.02,0.01,0.18,-0.12,13078.78,-27685.93,0.02,-0.14,654.01,0.00
109100,6037109100,-23.93,0.02,-0.09,0.00,-0.14,0.01,0.05,4121.08,-25069.42,-0.13,0.03,-1.08,0.00
109200,6037109200,186.36,-0.17,-0.09,-0.03,-0.08,0.02,0.10,-10386.28,-21620.48,0.21,-0.07,42.88,0.00
109300,6037109300,790.73,-0.20,-0.18,0.01,-0.03,0.02,0.07,-440.27,-12240.69,-0.16,0.32,-98.09,0.00
109400,6037109400,481.19,-0.17,-0.06,0.03,-0.10,0.00,0.07,4190.47,-19072.39,-0.07,0.45,-179.45,0.00
109500,6037109500,360.49,-0.04,-0.01,-0.07,-0.19,0.00,0.04,-5136.62,-11553.30,0.03,0.24,-151.75,0.00
109601,6037109601,451.53,-0.20,-0.11,-0.02,0.00,0.06,0.03,2620.48,-9855.37,0.12,0.08,-190.30,0.00
109603,6037109603,-55.34,-0.26,-0.17,0.02,0.06,-0.06,0.02,-6818.25,-22978.67,-0.03,0.19,-209.72,0.01
109604,6037109604,69.33,-0.24,-0.18,0.05,-0.02,-0.07,-0.01,-4232.62,-9494.37,-0.04,0.17,-145.19,-0.01
109700,6037109700,412.50,-0.22,-0.17,0.07,-0.08,-0.06,0.10,-8485.60,4956.78,-0.11,0.18,-83.56,0.00
109800,6037109800,537.66,-0.24,-0.17,0.00,-0.03,-0.04,0.04,-14519.24,11187.78,-0.05,0.10,-264.38,-0.01
111100,6037111100,366.83,-0.20,-0.10,-0.02,-0.06,0.01,0.06,-4596.63,-12328.72,-0.08,0.15,-111.07,0.00
111201,6037111201,,-0.17,-0.09,-0.02,0.02,0.03,0.07,-20104.08,-7778.15,-0.06,-0.22,250.14,0.00
111202,6037111202,322.51,-0.17,-0.15,-0.04,-0.04,0.06,0.04,-530.25,-12055.77,-0.02,0.28,-323.64,0.00
111204,6037111204,672.28,-0.11,-0.12,-0.02,-0.01,0.05,0.07,-17402.21,-26275.15,-0.10,0.53,992.49,0.00
111205,6037111205,748.02,-0.15,-0.33,-0.03,-0.02,0.04,-0.02,-20169.93,-19594.17,0.03,0.30,-147.19,0.00
111206,6037111206,-669.51,-0.13,-0.12,-0.02,-0.02,0.04,0.05,-18720.49,16037.16,0.19,-0.15,124.28,0.00
111301,6037111301,368.35,-0.20,-0.17,-0.02,0.03,0.00,0.03,-9733.12,-11058.39,-0.10,0.18,-209.40,0.00
111302,6037111302,361.49,-0.20,-0.10,-0.03,0.01,0.05,0.02,-21452.69,-5216.01,-0.04,0.21,-273.80,0.00
111400,6037111400,164.58,-0.24,-0.12,0.01,0.00,0.00,0.06,-6437.84,-15753.62,-0.04,0.15,-145.92,0.00
113101,6037113101,286.05,-0.08,-0.12,-0.03,-0.02,0.02,0.03,-17500.60,-26397.73,-0.09,-0.22,-75.29,0.00
113102,6037113102,1439.05,-0.08,-0.10,-0.03,-0.02,0.02,0.06,-17500.62,-15922.72,-0.09,0.24,-75.29,0.00
113211,6037113211,192.18,-0.09,-0.18,-0.01,-0.02,0.07,0.07,-17398.33,1718.26,0.09,-0.04,326.59,0.00
113212,6037113212,251.97,-0.09,-0.13,-0.03,-0.06,-0.03,0.17,-10020.01,-18019.80,-0.21,0.27,-338.25,0.01
113213,6037113213,159.52,-0.16,-0.14,0.00,-0.08,0.03,0.06,-19844.75,-2451.13,-0.16,0.18,-316.08,0.00
113231,6037113231,276.57,-0.06,-0.15,0.04,-0.09,0.03,0.08,-6122.37,-30997.39,-0.07,0.28,-46.07,0.00
113232,6037113232,855.75,-0.12,-0.13,0.03,0.00,0.01,0.02,-31234.30,6335.99,0.03,0.18,125.10,0.00
113233,6037113233,183.73,-0.33,-0.14,0.10,-0.06,-0.01,-0.01,-11840.97,-6350.84,0.00,0.32,-159.76,0.01
113234,6037113234,198.17,-0.11,-0.09,-0.07,-0.02,0.04,0.06,-14721.82,-2986.88,-0.03,0.27,-288.77,0.01
113235,6037113235,369.10,-0.07,-0.12,0.00,-0.04,0.04,-0.02,-13464.09,-16313.85,0.19,-0.07,-23.88,0.00
113237,6037113237,334.10,-0.07,-0.26,0.00,0.02,0.04,0.05,-13487.34,-2424.75,0.19,-0.09,-23.88,0.01
113301,6037113301,-686.95,-0.09,-0.16,0.01,-0.05,0.05,-0.05,3328.45,-83705.63,-0.33,0.13,992.71,0.00
113303,6037113303,,-0.11,-0.20,-0.01,-0.06,0.01,0.05,-6741.02,5635.73,-0.16,0.04,-236.31,0.00
113321,6037113321,254.66,-0.19,-0.14,-0.02,-0.03,-0.02,0.14,-1568.24,-11656.72,-0.07,0.27,-182.97,-0.01
113322,6037113322,-143.15,-0.11,-0.11,-0.05,0.05,-0.01,0.03,-18043.60,-15727.83,0.09,0.24,411.92,0.00
113401,6037113401,-117.80,-0.21,-0.12,0.06,-0.04,0.10,-0.01,-736.74,-22120.03,-0.24,0.26,-227.68,0.00
113421,6037113421,329.64,-0.24,-0.13,0.11,-0.05,-0.03,-0.04,-8541.20,-9965.88,-0.06,0.28,-229.57,0.00
113422,6037113422,148.82,-0.28,-0.19,0.08,0.01,-0.04,0.09,-9550.95,-7008.62,-0.08,0.32,-139.20,-0.01
115101,6037115101,201.39,-0.10,-0.19,-0.02,-0.01,0.04,-0.01,-10185.97,-29620.73,-0.14,0.43,-2.71,0.00
115103,6037115103,618.85,-0.29,-0.15,-0.02,-0.05,0.03,0.04,-8068.03,,-0.04,0.17,-182.37,-0.01
115104,6037115104,172.66,-0.30,-0.15,-0.04,0.01,0.04,0.06,-6122.82,-16810.58,-0.05,0.15,-215.03,0.00
115201,6037115201,328.52,-0.23,-0.08,0.02,-0.09,-0.01,0.01,-6767.82,-10733.90,-0.03,0.12,-100.97,0.00
115202,6037115202,214.34,-0.19,-0.01,0.04,-0.10,-0.01,0.06,-7079.01,-8429.44,-0.16,0.12,-278.14,0.00
115301,6037115301,754.49,-0.16,-0.16,-0.01,-0.05,0.08,0.04,-10685.56,-12056.10,0.01,0.14,-277.32,0.00
115302,6037115302,333.68,-0.04,-0.01,0.06,-0.35,-0.05,0.07,-9754.42,5189.62,0.03,0.16,-185.65,-0.08
115401,6037115401,195.05,-0.20,-0.04,0.04,-0.11,-0.03,0.05,-12042.24,422.80,0.01,0.03,-201.09,0.01
115403,6037115403,127.95,-0.18,-0.08,0.07,-0.17,-0.02,0.07,-7785.99,-9802.55,-0.01,0.22,-102.86,-0.01
115404,6037115404,481.95,-0.18,-0.06,0.07,-0.12,-0.02,0.05,-7785.99,-963.55,-0.01,0.26,-102.86,0.00
117101,6037117101,66.79,-0.28,-0.14,0.05,-0.03,0.01,0.09,-13579.06,6943.88,-0.06,0.05,-419.35,-0.03
117102,6037117102,547.79,-0.28,0.04,0.05,-0.06,0.01,-0.03,-13579.05,-14.12,-0.06,0.39,-419.35,-0.02
117201,6037117201,196.54,-0.26,-0.12,0.12,0.01,-0.02,0.01,-12363.57,-15717.52,-0.12,0.05,-144.11,0.01
117202,6037117202,1778.54,-0.26,-0.01,0.12,-0.24,-0.02,0.12,-12363.57,19728.48,-0.12,-0.14,-144.11,0.16
117301,6037117301,487.66,-0.21,-0.15,0.05,-0.11,0.01,0.15,-19576.80,10250.93,0.11,0.19,76.11,0.00
117302,6037117302,428.90,-0.18,-0.13,0.00,-0.03,0.00,0.10,-582.09,-24146.90,-0.05,0.38,-120.40,0.00
117303,6037117303,285.04,-0.18,-0.19,0.02,-0.08,0.06,0.01,-14725.76,-3857.24,-0.19,0.40,74.73,0.00
117404,6037117404,508.62,-0.24,-0.14,0.04,-0.01,0.03,-0.05,-9979.22,1591.36,0.03,0.18,28.22,0.00
117405,6037117405,293.73,-0.11,0.01,0.24,-0.25,-0.10,0.04,-9820.97,-3392.69,-0.09,0.26,-325.15,0.00
117407,6037117407,283.11,-0.07,-0.05,0.19,-0.05,-0.08,-0.03,-10841.23,-9697.42,-0.06,0.25,-326.53,0.03
117408,6037117408,121.11,-0.07,-0.01,0.19,-0.27,-0.08,0.04,-10841.23,-8417.42,-0.06,0.31,-326.53,0.00
117510,6037117510,414.87,-0.18,-0.02,0.20,-0.18,-0.07,-0.05,-21173.04,4151.17,-0.01,0.11,-342.05,-0.01
117520,6037117520,289.25,-0.18,-0.03,0.20,-0.21,-0.09,0.04,-16428.87,-2696.00,0.10,0.12,-343.43,0.07
117530,6037117530,262.36,-0.16,-0.04,0.11,-0.13,-0.03,0.00,-9718.15,-6067.71,-0.06,0.22,-325.54,0.00
119001,6037119001,594.61,-0.18,-0.07,0.09,-0.10,0.03,0.03,-10399.36,-4920.26,-0.22,0.16,-262.99,0.00
119002,6037119002,278.13,-0.12,-0.03,0.07,-0.09,-0.01,0.02,-6736.39,-2929.25,-0.07,0.09,-213.02,-0.01
119201,6037119201,-189.07,-0.16,-0.07,0.09,-0.11,0.01,0.05,-10986.79,-3748.77,-0.08,-0.06,-311.07,-0.01
119202,6037119202,308.55,-0.10,0.01,0.06,-0.21,0.00,0.01,-11494.37,-7215.06,-0.05,0.29,-278.67,-0.02
119310,6037119310,-61.26,-0.12,0.01,0.07,-0.12,0.01,0.00,345.06,-14233.89,0.04,0.10,-303.51,0.00
119320,6037119320,397.67,-0.15,-0.07,0.06,0.00,-0.04,0.06,-3779.43,-11069.23,-0.07,0.23,-190.46,0.00
119340,6037119340,236.13,-0.17,-0.07,0.25,-0.05,-0.07,0.00,-21271.96,-7105.69,-0.05,0.19,-418.93,0.00
119341,6037119341,168.36,-0.17,0.01,0.05,-0.11,0.02,0.06,-11003.83,-2064.82,-0.03,0.22,-266.16,-0.02
